row_number,first_name,last_name,dot_number,email,Milestone
1,Vittoria,Gaskarth,648,Gaskarth.648@osu.edu,4
2,Esra,Durrand,799,Durrand.799@osu.edu,11
3,Rodrigo,Tremeer,416,Tremeer.416@osu.edu,7
4,Dale,MacCallester,30,MacCallester.30@osu.edu,2
5,Igor,Checo,540,Checo.540@osu.edu,4
6,Katya,Snary,346,Snary.346@osu.edu,12
7,Ammamaria,Erskine,17,Erskine.17@osu.edu,9
8,Dulce,Milburne,488,Milburne.488@osu.edu,7
9,Errick,Garaghan,174,Garaghan.174@osu.edu,9
10,Serge,Ollington,843,Ollington.843@osu.edu,4
11,Zebulen,Cohen,231,Cohen.231@osu.edu,2
12,Shara,Comford,838,Comford.838@osu.edu,8
13,Virginia,Blaase,269,Blaase.269@osu.edu,5
14,Donaugh,Colpus,505,Colpus.505@osu.edu,12
15,Debi,MacTrustrie,326,MacTrustrie.326@osu.edu,5
16,Evania,Busfield,123,Busfield.123@osu.edu,8
17,Alfie,Nucci,107,Nucci.107@osu.edu,9
18,Tallulah,Casa,296,Casa.296@osu.edu,10
19,Lilla,Ellingham,398,Ellingham.398@osu.edu,6
20,Marijn,Rennick,107,Rennick.107@osu.edu,5
21,Chery,Paulitschke,470,Paulitschke.470@osu.edu,7
22,Boot,Etienne,978,Etienne.978@osu.edu,7
23,Juliet,Heindrick,376,Heindrick.376@osu.edu,8
24,Luigi,Eastabrook,405,Eastabrook.405@osu.edu,11
25,Letta,Rankin,806,Rankin.806@osu.edu,5
26,Barbey,Bains,113,Bains.113@osu.edu,8
27,Claire,Tour,189,Tour.189@osu.edu,4
28,Birch,Cottey,890,Cottey.890@osu.edu,12
29,Sutherland,Kippins,529,Kippins.529@osu.edu,11
30,Chlo,Orring,427,Orring.427@osu.edu,6
31,Mildrid,Goode,407,Goode.407@osu.edu,2
32,Danica,Chevin,969,Chevin.969@osu.edu,6
33,Abner,Antoniat,245,Antoniat.245@osu.edu,1
34,Kamilah,Gergolet,459,Gergolet.459@osu.edu,7
35,Eunice,Juza,955,Juza.955@osu.edu,7
36,Kellia,Trayhorn,726,Trayhorn.726@osu.edu,9
37,Alwin,Scaplehorn,902,Scaplehorn.902@osu.edu,9
38,Anthia,Gerred,911,Gerred.911@osu.edu,10
39,Madalena,Herreran,324,Herreran.324@osu.edu,8
40,Cobby,Flippen,399,Flippen.399@osu.edu,7
41,Myron,Tomenson,420,Tomenson.420@osu.edu,1
42,Letty,Steger,282,Steger.282@osu.edu,6
43,Aubry,Gilley,444,Gilley.444@osu.edu,1
44,Alvira,Riepel,581,Riepel.581@osu.edu,9
45,Freddi,Esparza,384,Esparza.384@osu.edu,2
46,Jade,Bradie,782,Bradie.782@osu.edu,11
47,Jehanna,Squibb,830,Squibb.830@osu.edu,4
48,Koenraad,Stannah,321,Stannah.321@osu.edu,11
49,Felic,Clulee,739,Clulee.739@osu.edu,5
50,Willi,De Minico,99,De Minico.99@osu.edu,1
51,Coral,Baulch,790,Baulch.790@osu.edu,11
